"Species","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"ASV_19307","ASV_19307",0.0208058299595142,0.969588016194332,0.0156624907736158,1.32838577594328,154.1712,0,16049,1,0.001,"control_1984-2024_latrine_1984-2024",19307,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA
"ASV_14146","ASV_14146",0.012608636977058,0.969588016194332,0.0123327403808987,1.02237106982213,93.43,0,9263,1,0.001,"control_1984-2024_latrine_1984-2024",14146,"Bacteria","Cyanobacteriota","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Tychonema_CCAP_1459-11B",NA
"ASV_18380","ASV_18380",0.0100663697705803,0.969588016194332,0.0166424114723061,0.604862449611423,74.5918,0,14885,1,0.001,"control_1984-2024_latrine_1984-2024",18380,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Spirosoma",NA
"ASV_22406","ASV_22406",0.00982653171390013,0.969588016194332,0.00947510286962635,1.03708971280938,72.8146,0,20186,1,0.001,"control_1984-2024_latrine_1984-2024",22406,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_26588","ASV_26588",0.008457004048583,0.969588016194332,0.0118233865575694,0.715277641258273,64.8706,6.1666,25975,1,0.001,"control_1984-2024_latrine_1984-2024",26588,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Incertae_Sedis",NA
"ASV_10026","ASV_10026",0.00624480431848853,0.969588016194332,0.0104180136453996,0.59942370312081,46.274,0,4179,1,0.001,"control_1984-2024_latrine_1984-2024",10026,"Bacteria","Gemmatimonadota","Gemmatimonadia","Gemmatimonadales","Gemmatimonadaceae","Incertae_Sedis",NA
"ASV_19308","ASV_19308",0.00579589743589744,0.969588016194332,0.0146782343851706,0.394863393226166,42.9476,0,16050,1,0.001,"control_1984-2024_latrine_1984-2024",19308,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA
"ASV_11931","ASV_11931",0.00578278002699055,0.969588016194332,0.00479375439747596,1.2063154570529,42.8504,0,6620,1,0.001,"control_1984-2024_latrine_1984-2024",11931,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_11735","ASV_11735",0.00564974358974359,0.969588016194332,0.00418774994615407,1.34911197239276,41.8646,0,6358,1,0.001,"control_1984-2024_latrine_1984-2024",11735,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_21602","ASV_21602",0.00534661268556005,0.969588016194332,0.00245841136926511,2.17482425943967,0,39.6184,19145,1,0.001,"control_1984-2024_latrine_1984-2024",21602,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Hassallia",NA
"ASV_19307","ASV_19307",0.0204951012145749,0.960533684210526,0.0157863186145167,1.29828250113539,154.1712,2.3025,16424,1,0.024,"control_1984-2024_latrine_LIA",19307,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA
"ASV_11958","ASV_11958",0.0167855060728745,0.960533684210526,0.0117757967056117,1.42542424028732,66.6972,156.745,7462,1,0.026,"control_1984-2024_latrine_LIA",11958,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_14146","ASV_14146",0.0124167071524966,0.960533684210526,0.0123710290995914,1.00369234059168,93.43,1.887,9979,1,0.025,"control_1984-2024_latrine_LIA",14146,"Bacteria","Cyanobacteriota","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Tychonema_CCAP_1459-11B",NA
